prefix,count,white_win_rate,black_win_rate,draw_rate,main_opening
"('a2a3',)",3,0.667,0.333,0.0,Anderssen Opening
"('a2a3', 'd7d5')",2,0.5,0.5,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3')",2,0.5,0.5,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'c8g4')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'c8g4', 'h2h3')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'c8g4', 'h2h3', 'g4h5')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'c8g4', 'h2h3', 'g4h5', 'g2g4')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'c8g4', 'h2h3', 'g4h5', 'g2g4', 'h5g6')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'c8g4', 'h2h3', 'g4h5', 'g2g4', 'h5g6', 'f2f4')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'c8g4', 'h2h3', 'g4h5', 'g2g4', 'h5g6', 'f2f4', 'e7e5')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'g8f6')",1,0.0,1.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'g8f6', 'd2d3')",1,0.0,1.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'g8f6', 'd2d3', 'd5d4')",1,0.0,1.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'g8f6', 'd2d3', 'd5d4', 'c3e4')",1,0.0,1.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'g8f6', 'd2d3', 'd5d4', 'c3e4', 'f6e4')",1,0.0,1.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'g8f6', 'd2d3', 'd5d4', 'c3e4', 'f6e4', 'd3e4')",1,0.0,1.0,0.0,Anderssen Opening
"('a2a3', 'd7d5', 'b1c3', 'g8f6', 'd2d3', 'd5d4', 'c3e4', 'f6e4', 'd3e4', 'c7c5')",1,0.0,1.0,0.0,Anderssen Opening
"('a2a3', 'g7g6')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'g7g6', 'b1c3')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'g7g6', 'b1c3', 'f8g7')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'g7g6', 'b1c3', 'f8g7', 'e2e4')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'g7g6', 'b1c3', 'f8g7', 'e2e4', 'd7d6')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'g7g6', 'b1c3', 'f8g7', 'e2e4', 'd7d6', 'f2f4')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'g7g6', 'b1c3', 'f8g7', 'e2e4', 'd7d6', 'f2f4', 'g8f6')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'g7g6', 'b1c3', 'f8g7', 'e2e4', 'd7d6', 'f2f4', 'g8f6', 'g1f3')",1,1.0,0.0,0.0,Anderssen Opening
"('a2a3', 'g7g6', 'b1c3', 'f8g7', 'e2e4', 'd7d6', 'f2f4', 'g8f6', 'g1f3', 'e8g8')",1,1.0,0.0,0.0,Anderssen Opening
"('b1c3',)",18,0.167,0.667,0.167,Van Geet Opening
"('b1c3', 'c7c5')",3,0.0,0.667,0.333,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4')",3,0.0,0.667,0.333,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'd7d6')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'd7d6', 'f2f4')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'd7d6', 'f2f4', 'b8c6')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'd7d6', 'f2f4', 'b8c6', 'g1f3')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'd7d6', 'f2f4', 'b8c6', 'g1f3', 'g7g6')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'd7d6', 'f2f4', 'b8c6', 'g1f3', 'g7g6', 'f1c4')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'd7d6', 'f2f4', 'b8c6', 'g1f3', 'g7g6', 'f1c4', 'f8g7')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'e7e6')",1,0.0,0.0,1.0,Sicilian Defense: Closed
"('b1c3', 'c7c5', 'e2e4', 'e7e6', 'f2f4')",1,0.0,0.0,1.0,Sicilian Defense: Closed
"('b1c3', 'c7c5', 'e2e4', 'e7e6', 'f2f4', 'd7d5')",1,0.0,0.0,1.0,Sicilian Defense: Closed
"('b1c3', 'c7c5', 'e2e4', 'e7e6', 'f2f4', 'd7d5', 'e4e5')",1,0.0,0.0,1.0,Sicilian Defense: Closed
"('b1c3', 'c7c5', 'e2e4', 'e7e6', 'f2f4', 'd7d5', 'e4e5', 'b8c6')",1,0.0,0.0,1.0,Sicilian Defense: Closed
"('b1c3', 'c7c5', 'e2e4', 'e7e6', 'f2f4', 'd7d5', 'e4e5', 'b8c6', 'g1f3')",1,0.0,0.0,1.0,Sicilian Defense: Closed
"('b1c3', 'c7c5', 'e2e4', 'e7e6', 'f2f4', 'd7d5', 'e4e5', 'b8c6', 'g1f3', 'g8e7')",1,0.0,0.0,1.0,Sicilian Defense: Closed
"('b1c3', 'c7c5', 'e2e4', 'g7g6')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'g7g6', 'g1f3')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'g7g6', 'g1f3', 'f8g7')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'g7g6', 'g1f3', 'f8g7', 'g2g3')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'g7g6', 'g1f3', 'f8g7', 'g2g3', 'b8c6')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'g7g6', 'g1f3', 'f8g7', 'g2g3', 'b8c6', 'f1g2')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'c7c5', 'e2e4', 'g7g6', 'g1f3', 'f8g7', 'g2g3', 'b8c6', 'f1g2', 'd7d6')",1,0.0,1.0,0.0,Sicilian Defense: Closed Variation
"('b1c3', 'd7d5')",9,0.111,0.778,0.111,Van Geet Opening
"('b1c3', 'd7d5', 'd2d4')",1,0.0,1.0,0.0,Queen's Pawn Game: Chigorin Variation
"('b1c3', 'd7d5', 'd2d4', 'g8f6')",1,0.0,1.0,0.0,Queen's Pawn Game: Chigorin Variation
"('b1c3', 'd7d5', 'd2d4', 'g8f6', 'c1f4')",1,0.0,1.0,0.0,Queen's Pawn Game: Chigorin Variation
"('b1c3', 'd7d5', 'd2d4', 'g8f6', 'c1f4', 'c7c6')",1,0.0,1.0,0.0,Queen's Pawn Game: Chigorin Variation
"('b1c3', 'd7d5', 'd2d4', 'g8f6', 'c1f4', 'c7c6', 'g1f3')",1,0.0,1.0,0.0,Queen's Pawn Game: Chigorin Variation
"('b1c3', 'd7d5', 'd2d4', 'g8f6', 'c1f4', 'c7c6', 'g1f3', 'c8f5')",1,0.0,1.0,0.0,Queen's Pawn Game: Chigorin Variation
"('b1c3', 'd7d5', 'd2d4', 'g8f6', 'c1f4', 'c7c6', 'g1f3', 'c8f5', 'e2e3')",1,0.0,1.0,0.0,Queen's Pawn Game: Chigorin Variation
"('b1c3', 'd7d5', 'd2d4', 'g8f6', 'c1f4', 'c7c6', 'g1f3', 'c8f5', 'e2e3', 'e7e6')",1,0.0,1.0,0.0,Queen's Pawn Game: Chigorin Variation
"('b1c3', 'd7d5', 'e2e4')",7,0.143,0.714,0.143,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4')",4,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2')",4,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'b8c6')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'b8c6', 'e2g3')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'b8c6', 'e2g3', 'e7e5')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'b8c6', 'e2g3', 'e7e5', 'f1c4')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'b8c6', 'e2g3', 'e7e5', 'f1c4', 'f8d6')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'c7c5')",2,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'c7c5', 'e2g3')",2,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'c7c5', 'e2g3', 'b8c6')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'c7c5', 'e2g3', 'b8c6', 'f1c4')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'c7c5', 'e2g3', 'b8c6', 'f1c4', 'e7e6')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'c7c5', 'e2g3', 'e7e5')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'c7c5', 'e2g3', 'e7e5', 'g1f3')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'c7c5', 'e2g3', 'e7e5', 'g1f3', 'f8d6')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'e7e5')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'e7e5', 'g1f3')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'e7e5', 'g1f3', 'f7f6')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'e7e5', 'g1f3', 'f7f6', 'e2g3')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5d4', 'c3e2', 'e7e5', 'g1f3', 'f7f6', 'e2g3', 'c8e6')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5e4')",2,0.0,0.5,0.5,"French Defense: Rubinstein Variation, Fort Knox Variation"
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4')",2,0.0,0.5,0.5,"French Defense: Rubinstein Variation, Fort Knox Variation"
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'e7e6')",1,0.0,1.0,0.0,"French Defense: Rubinstein Variation, Fort Knox Variation"
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'e7e6', 'g1f3')",1,0.0,1.0,0.0,"French Defense: Rubinstein Variation, Fort Knox Variation"
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'e7e6', 'g1f3', 'c8d7')",1,0.0,1.0,0.0,"French Defense: Rubinstein Variation, Fort Knox Variation"
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'e7e6', 'g1f3', 'c8d7', 'd2d4')",1,0.0,1.0,0.0,"French Defense: Rubinstein Variation, Fort Knox Variation"
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'e7e6', 'g1f3', 'c8d7', 'd2d4', 'd7c6')",1,0.0,1.0,0.0,"French Defense: Rubinstein Variation, Fort Knox Variation"
