Unnamed: 0,white,black,result,opening,eco,num_moves,moves,moves_preview,accuracies,mean_white_accuracy,mean_black_accuracy
48090,pizdez,kalounardo,1/2-1/2,Queen's Pawn,A41,125,"['d2d4', 'd7d6', 'c1g5', 'h7h6', 'g5h4', 'c7c5', 'd4c5', 'd8a5', 'b1c3', 'a5c5', 'e2e4', 'g7g5', 'h4g3', 'f8g7', 'f1b5', 'c8d7', 'b5d7', 'b8d7', 'g1e2', 'g8f6', 'f2f3', 'a8c8', 'g3f2', 'c5b4', 'a1b1', 'a7a6', 'e1g1', 'e8g8', 'e2g3', 'd7e5', 'g3f5', 'c8c7', 'c3d5', 'f6d5', 'd1d5', 'e5g6', 'f5g7', 'g8g7', 'c2c3', 'b4c4', 'd5c4', 'c7c4', 'b2b3', 'c4c6', 'c3c4', 'g6f4', 'f2e3', 'f8c8', 'g2g3', 'f4e6', 'a2a4', 'b7b5', 'c4b5', 'a6b5', 'a4b5', 'c6c3', 'f1e1', 'f7f6', 'g1f2', 'c8b8', 'b5b6', 'e6c5', 'e3c5', 'c3c5', 'b3b4', 'c5c6', 'e1e2', 'c6b6', 'e2b2', 'g7f7', 'f3f4', 'f7e6', 'f2e3', 'e6d7', 'e3d4', 'b8c8', 'f4f5', 'b6c6', 'b2b3', 'c6c4', 'd4d3', 'c4c2', 'b1b2', 'c2c1', 'b4b5', 'd7c7', 'd3d4', 'c1d1', 'd4e3', 'c7b7', 'e3f3', 'h6h5', 'b3a3', 'd1c1', 'b5b6', 'c1c3', 'a3c3', 'c8c3', 'f3e2', 'c3c6', 'e2d3', 'c6b6', 'b2a2', 'b6b4', 'a2c2', 'b7b6', 'd3e3', 'b6b7', 'e3d3', 'b4a4', 'd3e3', 'a4a5', 'e3d4', 'a5b5', 'c2c1', 'b7b6', 'c1c8', 'b5b4', 'd4d5', 'b4b5', 'd5d4', 'b5b4', 'd4d5', 'b4b5', 'd5d4']","['d2d4', 'd7d6', 'c1g5']","[0.00980392156862745, 0.14285714285714285, 0.023255813953488372, 0.5, 1.0, 0.030303030303030304, 0.014285714285714285, 0.2, 0.09090909090909091, 0.03571428571428571, 0.02702702702702703, 0.2, 0.5, 1.0, 0.02564102564102564, 0.5, 0.021739130434782608, 0.2, 0.2, 0.02857142857142857, 1.0, 0.3333333333333333, 0.2, 0.25, 0.020833333333333332, 1.0, 0.125, 0.3333333333333333, 0.02631578947368421, 0.08333333333333333, 0.0031645569620253164, 0.5, 0.0017513134851138354, 1.0, 0.0024154589371980675, 0.04, 0.007407407407407408, 0.058823529411764705, 1.0, 0.14285714285714285, 0.5, 0.16666666666666666, 0.5, 0.3333333333333333, 0.5, 0.03333333333333333, 0.5, 0.058823529411764705, 0.09090909090909091, 0.034482758620689655, 0.5, 0.043478260869565216, 0.006896551724137931, 1.0, 0.011494252873563218, 1.0, 0.0014347202295552368, 0.5, 0.0010626992561105207, 0.07142857142857142, 0.03225806451612903, 1.0, 0.02857142857142857, 0.1, 0.25, 0.02564102564102564, 0.14285714285714285, 0.25, 1.0, 0.02564102564102564, 0.125, 0.05263157894736842, 0.2, 0.029411764705882353, 0.1111111111111111, 0.1111111111111111, 0.02564102564102564, 0.1, 0.0027247956403269754, 0.029411764705882353, 0.125, 0.047619047619047616, 0.015384615384615385, 0.03571428571428571, 0.07142857142857142, 0.125, 0.006493506493506494, 0.045454545454545456, 0.045454545454545456, 1.0, 0.3333333333333333, 0.017543859649122806, 0.5, 0.06666666666666667, 0.08333333333333333, 0.008403361344537815, 1.0, 0.047619047619047616, 1.0, 0.011494252873563218, 1.0, 0.027777777777777776, 0.25, 0.01, 0.5, 0.007462686567164179, 0.034482758620689655, 0.047619047619047616, 0.3333333333333333, 0.030303030303030304, 0.5, 0.012048192771084338, 0.5, 0.07692307692307693, 0.5, 0.0125, 0.5, 0.2, 0.2, 0.1, 1.0, 0.014285714285714285, 1.0, 1.0, 0.06666666666666667]",0.29,0.23
265494,ali-sh,OccasionalBlunder,0-1,"French Defense: Classical Variation, Richter Attack #2",C13,66,"['d2d4', 'd7d5', 'e2e4', 'e7e6', 'b1c3', 'g8f6', 'c1g5', 'f8e7', 'g5f6', 'e7f6', 'g1f3', 'd5e4', 'c3e4', 'c8d7', 'f1d3', 'd7c6', 'd1e2', 'c6e4', 'd3e4', 'c7c6', 'e1c1', 'b8d7', 'g2g4', 'h7h6', 'h2h4', 'd8a5', 'c1b1', 'e8c8', 'c2c3', 'c8b8', 'h1g1', 'g7g5', 'h4g5', 'h6g5', 'f3d2', 'h8h2', 'e2f3', 'a5c7', 'd2b3', 'd8h8', 'b3c5', 'd7c5', 'd4c5', 'c7e5', 'd1d7', 'h8h3', 'g1g3', 'h2h1', 'b1c2', 'h3g3', 'f2g3', 'h1h2', 'c2b3', 'e5c5', 'f3d3', 'c5b6', 'b3a4', 'h2b2', 'd3d6', 'b8c8', 'd6f8', 'c8d7', 'f8f7', 'f6e7', 'e4d3', 'b2a2']","['d2d4', 'd7d5', 'e2e4']","[0.008333333333333333, 1.0, 0.02, 0.0045045045045045045, 0.007692307692307693, 0.5, 0.05263157894736842, 0.1111111111111111, 0.011363636363636364, 0.005376344086021506, 0.5, 0.05263157894736842, 0.041666666666666664, 1.0, 0.07142857142857142, 1.0, 0.0070921985815602835, 0.2, 0.14285714285714285, 1.0, 1.0, 1.0, 0.008849557522123894, 0.05263157894736842, 0.017543859649122806, 1.0, 0.08333333333333333, 0.5, 0.1111111111111111, 0.5, 0.09090909090909091, 0.5, 0.022727272727272728, 0.2, 0.07692307692307693, 0.14285714285714285, 0.03333333333333333, 0.5, 0.025, 0.25, 0.3333333333333333, 1.0, 0.5, 0.030303030303030304, 1.0, 0.030303030303030304, 0.022727272727272728, 0.002890173410404624, 0.1111111111111111, 0.16666666666666666, 0.03571428571428571, 0.008620689655172414, 0.06666666666666667, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.32,0.52
221742,Davigator,kur_za_vas_123456789,0-1,"French Defense: Winawer Variation, Advance Variation #2",C18,134,"['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1c3', 'f8b4', 'e4e5', 'c7c5', 'a2a3', 'b4c3', 'b2c3', 'd8a5', 'c1d2', 'a5a4', 'd1g4', 'e8f8', 'e1d1', 'b8c6', 'g1f3', 'g8e7', 'f1d3', 'c8d7', 'h2h3', 'c5d4', 'c3d4', 'a8c8', 'd1e2', 'e7f5', 'c2c3', 'c6a5', 'h1c1', 'a5b3', 'd3c2', 'a4c4', 'c2d3', 'c4c7', 'c1b1', 'b3a1', 'b1a1', 'h7h6', 'a3a4', 'd7c6', 'g4f4', 'c7d7', 'g2g4', 'f5e7', 'h3h4', 'f8g8', 'a4a5', 'c6b5', 'f4e3', 'b5d3', 'e3d3', 'a7a6', 'a1b1', 'c8c4', 'd2c1', 'e7c6', 'f3d2', 'c6a5', 'd2c4', 'a5c4', 'f2f4', 'h6h5', 'g4g5', 'g7g6', 'd3c2', 'g8g7', 'c2b3', 'h8c8', 'b3b4', 'b7b6', 'c1a3', 'a6a5', 'b4b3', 'c8c6', 'e2d3', 'd7b7', 'a3c1', 'b7a6', 'b3b5', 'a6b5', 'b1b5', 'g7f8', 'd3c2', 'f8e8', 'c2b3', 'e8d7', 'b3a4', 'd7c7', 'b5b3', 'c7b7', 'a4b5', 'c6c8', 'b3b1', 'c8a8', 'b1a1', 'a5a4', 'a1a4', 'a8a4', 'b5a4', 'b7a6', 'a4b4', 'a6b7', 'b4b5', 'c4a5', 'c1a3', 'a5b3', 'a3b2', 'b3d2', 'b2c1', 'd2f3', 'c3c4', 'f3h4', 'c4d5', 'e6d5', 'c1d2', 'h4f5', 'd2c3', 'h5h4', 'c3e1', 'f5d4', 'b5b4', 'b7c6', 'e1h4', 'd4e6', 'h4g3', 'e6c5', 'b4c3', 'c5e4', 'c3d4', 'e4g3', 'f4f5', 'g3f5']","['e2e4', 'e7e6', 'd2d4']","[0.022727272727272728, 1.0, 0.009345794392523364, 0.5, 0.3333333333333333, 0.1111111111111111, 0.0037735849056603774, 0.5, 0.011235955056179775, 0.5, 0.05263157894736842, 1.0, 0.013513513513513514, 0.5, 0.02631578947368421, 1.0, 0.0030864197530864196, 0.5, 0.025, 0.3333333333333333, 0.022222222222222223, 0.5, 0.008620689655172414, 0.5, 0.014492753623188406, 1.0, 0.004878048780487805, 1.0, 0.002564102564102564, 0.012987012987012988, 0.023809523809523808, 0.09090909090909091, 1.0, 0.020833333333333332, 1.0, 0.0025906735751295338, 0.5, 0.0020964360587002098, 1.0, 0.0032258064516129032, 1.0, 0.008620689655172414, 0.3333333333333333, 0.003215434083601286, 1.0, 0.04, 1.0, 1.0, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 0.1111111111111111, 1.0, 0.14285714285714285, 1.0, 0.3333333333333333, 1.0, 0.0013386880856760374, 0.5, 0.002824858757062147, 0.5, 0.034482758620689655, 1.0, 1.0, 1.0, 1.0, 1.0, 0.05263157894736842, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.5, 1.0, 0.25, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 0.5, 1.0, 0.5, 1.0, 0.07142857142857142, 1.0, 0.2, 1.0, 0.16666666666666666, 1.0, 0.010752688172043012, 1.0, 0.0024813895781637717, 1.0, 0.09090909090909091, 1.0, 0.001519756838905775, 0.5, 0.1, 1.0, 0.001402524544179523, 0.5, 0.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.72,0.47
331313,khosrowmorphy,Mozartus,0-1,Pirc Defense #4,B07,108,"['e2e4', 'd7d6', 'g1f3', 'g8f6', 'b1c3', 'g7g6', 'g2g3', 'f8g7', 'f1g2', 'e8g8', 'e1g1', 'c7c5', 'd2d3', 'b8c6', 'h2h3', 'c8d7', 'g1h2', 'a8c8', 'a2a4', 'b7b6', 'c1d2', 'a7a6', 'd1e2', 'c8b8', 'b2b3', 'b6b5', 'a4b5', 'a6b5', 'a1b1', 'c6b4', 'f3e1', 'd7c6', 'f2f4', 'f6d7', 'c3d5', 'c6d5', 'e4d5', 'f8e8', 'c2c3', 'b4a2', 'c3c4', 'b5b4', 'e1f3', 'e7e6', 'd5e6', 'e8e6', 'e2f2', 'h7h6', 'd3d4', 'e6e8', 'f4f5', 'd8f6', 'd2f4', 'g6g5', 'f4d6', 'f6d6', 'd4c5', 'd7c5', 'f2a2', 'b8d8', 'a2c2', 'c5e4', 'f3e5', 'g7e5', 'g2e4', 'e5g3', 'h2g2', 'g3h4', 'g2h1', 'd6g3', 'c2g2', 'g3e5', 'e4d5', 'd8d6', 'b1d1', 'g8g7', 'd1d2', 'd6f6', 'g2g4', 'e5e3', 'd2g2', 'e8e5', 'g4f3', 'e3f3', 'f1f3', 'e5f5', 'f3f5', 'f6f5', 'g2e2', 'f5f1', 'h1g2', 'f1f6', 'c4c5', 'h6h5', 'd5c4', 'g5g4', 'e2e5', 'g4h3', 'g2h3', 'f6f4', 'c5c6', 'h4f6', 'e5d5', 'f4f3', 'h3g2', 'f3f4', 'c6c7', 'f4g4']","['e2e4', 'd7d6', 'g1f3']","[0.047619047619047616, 0.16666666666666666, 0.009900990099009901, 0.125, 0.125, 0.5, 0.006369426751592357, 0.08333333333333333, 0.011111111111111112, 0.1, 0.004651162790697674, 1.0, 0.05555555555555555, 0.125, 0.16666666666666666, 0.045454545454545456, 0.1, 0.2, 0.5, 1.0, 0.5, 0.125, 0.14285714285714285, 0.02564102564102564, 0.25, 1.0, 0.5, 0.01639344262295082, 0.5, 0.002577319587628866, 0.5, 0.013513513513513514, 0.25, 0.05263157894736842, 0.038461538461538464, 0.012195121951219513, 0.16666666666666666, 0.006993006993006993, 0.012195121951219513, 0.0016313213703099511, 0.5, 0.005780346820809248, 1.0, 0.001184834123222749, 0.2, 0.024390243902439025, 0.043478260869565216, 0.014285714285714285, 0.001183431952662722, 0.0019455252918287938, 0.047619047619047616, 0.02702702702702703, 0.0012077294685990338, 0.0026954177897574125, 0.08333333333333333, 0.1, 1.0, 0.2, 1.0, 0.003484320557491289, 1.0, 1.0, 1.0, 0.004739336492890996, 0.5, 0.038461538461538464, 1.0, 0.0028011204481792717, 1.0, 0.00641025641025641, 1.0, 0.001049317943336831, 0.1, 0.002967359050445104, 0.5, 0.006944444444444444, 0.08333333333333333, 0.0027472527472527475, 0.5, 0.0013245033112582781, 0.5, 0.006172839506172839, 0.0011261261261261261, 0.0016129032258064516, 0.5, 0.0033222591362126247, 0.5, 0.002577319587628866, 0.5, 0.005154639175257732, 0.5, 0.01639344262295082, 0.045454545454545456, 0.014084507042253521, 0.001004016064257028, 1.0, 0.07142857142857142, 0.006289308176100629, 0.16666666666666666, 0.08333333333333333, 0.004405286343612335, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.37,0.21
279285,afshinm,Chessmotion,0-1,"Italian Game: Two Knights Defense, Perreux Variation",C55,104,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'g1f3', 'b8c6', 'f1c4', 'g8f6', 'f3g5', 'd7d5', 'e4d5', 'c6e5', 'c4b3', 'f8b4', 'c2c3', 'd4c3', 'b2c3', 'b4d6', 'f2f4', 'e5g6', 'd1e2', 'd8e7', 'e2e7', 'g6e7', 'e1g1', 'e8g8', 'b3c2', 'e7d5', 'g5e4', 'f6e4', 'c2e4', 'd5f6', 'e4f3', 'd6c5', 'g1h1', 'c7c6', 'h2h3', 'c8f5', 'c1a3', 'c5a3', 'b1a3', 'f5e4', 'a1e1', 'f8e8', 'f3e4', 'f6e4', 'h1h2', 'e4c3', 'e1c1', 'c3d5', 'c1b1', 'd5b6', 'f1f2', 'a8d8', 'b1b3', 'e8e4', 'a3c2', 'f7f6', 'c2e3', 'g8f7', 'e3f5', 'g7g6', 'f5g3', 'e4d4', 'b3a3', 'd4a4', 'a3a4', 'b6a4', 'f2f3', 'f6f5', 'f3b3', 'b7b5', 'g3f1', 'd8d4', 'g2g3', 'a7a6', 'h2g1', 'c6c5', 'g1f2', 'c5c4', 'b3e3', 'a4c5', 'f2e2', 'c5e4', 'e3a3', 'd4d6', 'e2e3', 'f7e6', 'g3g4', 'c4c3', 'f1g3', 'e4g3', 'a3c3', 'h7h5', 'g4g5', 'g3e4', 'c3c8', 'e6d5', 'e3d3', 'b5b4', 'c8c4', 'e4f2', 'd3e2', 'd5c4']","['e2e4', 'e7e5', 'd2d4']","[0.25, 0.16666666666666666, 0.021739130434782608, 0.5, 0.16666666666666666, 0.06666666666666667, 0.01818181818181818, 0.007874015748031496, 0.2, 0.011627906976744186, 0.5, 0.004524886877828055, 0.045454545454545456, 0.002352941176470588, 0.08333333333333333, 0.02702702702702703, 0.5, 0.0045871559633027525, 1.0, 0.004761904761904762, 1.0, 0.023255813953488372, 1.0, 0.011235955056179775, 1.0, 0.0038314176245210726, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 0.16666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.86,0.7
456800,camefortherun,BereMoTuk,1-0,"English Opening: Anglo-Indian Defense, King's Knight Variation",A15,85,"['g1f3', 'g8f6', 'c2c4', 'b7b5', 'c4b5', 'a7a6', 'b5a6', 'c8a6', 'g2g3', 'h7h5', 'f1g2', 'e7e6', 'b1c3', 'f8e7', 'd2d3', 'b8c6', 'h2h4', 'd7d5', 'e1g1', 'f6g4', 'a2a3', 'f7f6', 'b2b4', 'a6b7', 'd3d4', 'g7g5', 'e2e4', 'g5h4', 'e4d5', 'e6d5', 'f3h4', 'd8d7', 'c3d5', 'e8c8', 'c1f4', 'e7d6', 'f4d6', 'd7d6', 'a1c1', 'c8b8', 'b4b5', 'c6d4', 'd1d4', 'b7d5', 'g2d5', 'd6d5', 'd4a4', 'h8g8', 'f1d1', 'd5g5', 'b5b6', 'c7b6', 'd1d8', 'g8d8', 'a4c6', 'g5d5', 'c6b6', 'b8a8', 'h4f5', 'd5d2', 'c1b1', 'd2f2', 'b6f2', 'g4f2', 'g1f2', 'd8d3', 'b1b5', 'd3a3', 'f5e3', 'a3a2', 'f2f3', 'h5h4', 'g3h4', 'a2h2', 'h4h5', 'h2h3', 'f3e4', 'f6f5', 'b5f5', 'h3e3', 'e4e3', 'a8b7', 'e3f4', 'b7c6', 'h5h6']","['g1f3', 'g8f6', 'c2c4']","[0.08333333333333333, 1.0, 0.25, 0.14285714285714285, 0.00423728813559322, 1.0, 0.012048192771084338, 1.0, 0.014925373134328358, 0.5, 0.047619047619047616, 1.0, 0.011494252873563218, 1.0, 0.0020833333333333333, 0.5, 0.006578947368421052, 1.0, 0.025, 1.0, 0.25, 1.0, 0.25, 1.0, 0.009433962264150943, 1.0, 0.004608294930875576, 1.0, 0.07692307692307693, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.125, 1.0, 0.1, 1.0, 0.004545454545454545, 1.0, 0.006711409395973154, 1.0, 0.08333333333333333, 1.0, 0.0017452006980802793, 0.1, 0.003472222222222222, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.51,0.92
138323,demiridis,Maci,1-0,"English Opening: Symmetrical Variation, Rubinstein Variation",A34,57,"['c2c4', 'c7c5', 'g2g3', 'g8f6', 'f1g2', 'd7d5', 'c4d5', 'f6d5', 'b1c3', 'd5c7', 'd2d3', 'b8c6', 'g1f3', 'e7e5', 'f3d2', 'f8e7', 'd2c4', 'f7f6', 'f2f4', 'e8g8', 'e1g1', 'e5f4', 'c1f4', 'c7e6', 'f4d2', 'e6d4', 'e2e3', 'd4e6', 'c3d5', 'e6c7', 'd5e7', 'c6e7', 'd1b3', 'g8h8', 'b3a3', 'c7e6', 'd2a5', 'd8e8', 'd3d4', 'c5d4', 'a5b4', 'e7c6', 'b4f8', 'e8f8', 'a3f8', 'e6f8', 'e3d4', 'c8g4', 'd4d5', 'c6b4', 'f1f4', 'h7h5', 'f4e4', 'a8d8', 'c4e3', 'g4d7', 'e4b4']","['c2c4', 'c7c5', 'g2g3']","[0.03225806451612903, 0.16666666666666666, 0.05263157894736842, 0.3333333333333333, 0.07142857142857142, 0.16666666666666666, 0.125, 0.3333333333333333, 0.006666666666666667, 0.16666666666666666, 0.013157894736842105, 0.14285714285714285, 0.0017953321364452424, 0.5, 0.08333333333333333, 0.2, 0.2, 0.5, 0.023809523809523808, 0.1, 0.07142857142857142, 0.25, 0.07142857142857142, 0.07692307692307693, 0.0028328611898017, 0.09090909090909091, 0.029411764705882353, 0.2, 0.03225806451612903, 1.0, 0.013513513513513514, 0.06666666666666667, 0.0020408163265306124, 0.015384615384615385, 0.0049504950495049506, 1.0, 0.01, 1.0, 0.025, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.32,0.55
385215,piongu,marc100,1-0,Indian Game,A45,43,"['d2d4', 'g8f6', 'c1f4', 'g7g6', 'b1c3', 'd7d5', 'd1d2', 'c7c6', 'f2f3', 'f8g7', 'e2e4', 'd5e4', 'f3e4', 'e8g8', 'g1f3', 'c8g4', 'e1c1', 'd8a5', 'c1b1', 'b8a6', 'f4h6', 'a8c8', 'h2h3', 'g4f3', 'g2f3', 'f8d8', 'h6g7', 'g8g7', 'h3h4', 'c6c5', 'd4d5', 'e7e6', 'f1h3', 'h7h5', 'd2g5', 'c8c7', 'd5e6', 'd8d1', 'h1d1', 'f7e6', 'h3e6', 'c7e7', 'e6f5']","['d2d4', 'g8f6', 'c1f4']","[0.09090909090909091, 1.0, 0.07692307692307693, 0.16666666666666666, 0.3333333333333333, 0.5, 0.034482758620689655, 0.1111111111111111, 0.07692307692307693, 0.010309278350515464, 0.014084507042253521, 0.125, 0.006211180124223602, 1.0, 0.05, 1.0, 0.0016835016835016834, 0.5, 0.006097560975609756, 0.5, 0.005025125628140704, 1.0, 0.037037037037037035, 1.0, 0.1111111111111111, 1.0, 0.025, 1.0, 0.0026954177897574125, 0.5, 0.5, 1.0, 0.0044444444444444444, 1.0, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.26,0.73
569006,taktycjusz,Zivojin,1-0,Queen's Pawn,A41,87,"['d2d4', 'd7d6', 'b1c3', 'b8c6', 'e2e4', 'e7e5', 'd4d5', 'c6e7', 'f2f3', 'f7f5', 'c1e3', 'g8f6', 'd1d2', 'f5f4', 'e3f2', 'c7c5', 'e1c1', 'g7g5', 'g2g3', 'f8g7', 'h2h4', 'h7h6', 'f1b5', 'c8d7', 'b5d7', 'd8d7', 'g3g4', 'e8c8', 'h4h5', 'f6g4', 'f3g4', 'd7g4', 'g1e2', 'g4d7', 'c1b1', 'h8f8', 'e2c1', 'e7g8', 'a2a4', 'g8f6', 'd2d3', 'a7a6', 'c1b3', 'c8b8', 'd3c4', 'd8c8', 'a4a5', 'd7f7', 'c3a4', 'f6h5', 'a4b6', 'c8c7', 'b3d2', 'h5f6', 'c4a4', 'f7e8', 'a4a3', 'e8b5', 'c2c4', 'b5b4', 'a3a2', 'f6d7', 'b6d7', 'c7d7', 'h1h3', 'f4f3', 'd2f3', 'b7b6', 'a5b6', 'd7b7', 'f3d2', 'f8f2', 'h3b3', 'f2d2', 'b3b4', 'd2d1', 'b1c2', 'c5b4', 'c2d1', 'b7b6', 'b2b3', 'b6b7', 'a2a4', 'b7b6', 'a4e8', 'b8a7', 'e8d7']","['d2d4', 'd7d6', 'b1c3']","[0.05263157894736842, 0.16666666666666666, 0.03225806451612903, 0.16666666666666666, 0.005555555555555556, 1.0, 0.008849557522123894, 0.25, 0.008849557522123894, 0.3333333333333333, 0.14285714285714285, 1.0, 0.009433962264150943, 0.5, 0.014705882352941176, 0.5, 0.0014858841010401188, 0.25, 0.0125, 0.25, 0.008547008547008548, 1.0, 0.002242152466367713, 0.5, 0.010309278350515464, 1.0, 0.002183406113537118, 0.3333333333333333, 1.0, 1.0, 0.0625, 1.0, 0.037037037037037035, 1.0, 0.004098360655737705, 1.0, 0.00510204081632653, 1.0, 0.002277904328018223, 1.0, 0.006711409395973154, 1.0, 0.022222222222222223, 1.0, 0.0018832391713747645, 0.5, 0.002277904328018223, 0.16666666666666666, 0.01818181818181818, 1.0, 0.043478260869565216, 1.0, 0.012345679012345678, 1.0, 0.0036101083032490976, 1.0, 0.014084507042253521, 1.0, 0.004739336492890996, 1.0, 0.0013386880856760374, 1.0, 0.3333333333333333, 1.0, 0.06666666666666667, 1.0, 0.012658227848101266, 1.0, 0.00558659217877095, 1.0, 0.003937007874015748, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.14285714285714285, 1.0, 1.0, 1.0, 1.0]",0.17,0.81
449404,TicTacFideMaster,Niper13,1/2-1/2,Nimzo-Indian Defense: Simagin Variation,E46,105,"['d2d4', 'g8f6', 'c2c4', 'e7e6', 'b1c3', 'f8b4', 'e2e3', 'e8g8', 'g1e2', 'd7d5', 'a2a3', 'b4d6', 'c4c5', 'd6e7', 'b2b4', 'c7c6', 'e2f4', 'b7b6', 'f4d3', 'a7a5', 'a1b1', 'c8a6', 'f1e2', 'b8d7', 'e1g1', 'd8c7', 'c1d2', 'c7b7', 'f2f3', 'a6c4', 'e3e4', 'a5b4', 'a3b4', 'a8a3', 'e4e5', 'f6e8', 'd1c1', 'a3a7', 'd2g5', 'f7f6', 'e5f6', 'e7f6', 'g5f6', 'e8f6', 'c1e3', 'f8e8', 'f1e1', 'c4d3', 'e2d3', 'a7a3', 'c3e2', 'g8h8', 'e2f4', 'e6e5', 'd4e5', 'e8e5', 'e3d4', 'e5e1', 'b1e1', 'b6c5', 'b4c5', 'b7a7', 'f4e6', 'a7a5', 'e1b1', 'a5d2', 'd3f5', 'd2d4', 'e6d4', 'g7g6', 'f5d7', 'f6d7', 'd4c6', 'd7c5', 'b1d1', 'c5e6', 'd1d5', 'a3a1', 'g1f2', 'a1a2', 'f2g3', 'a2g2', 'g3g2', 'e6f4', 'g2g3', 'f4d5', 'c6d4', 'h8g7', 'd4e2', 'g7f6', 'e2f4', 'd5f4', 'g3f4', 'h7h5', 'h2h4', 'g6g5', 'h4g5', 'f6g6', 'f4g3', 'g6g5', 'f3f4', 'g5f5', 'g3h4', 'f5f4', 'h4h5']","['d2d4', 'g8f6', 'c2c4']","[0.027777777777777776, 0.5, 0.25, 1.0, 0.5, 0.2, 0.02564102564102564, 0.045454545454545456, 0.025, 0.5, 0.3333333333333333, 0.16666666666666666, 0.047619047619047616, 0.3333333333333333, 0.5, 0.5, 0.25, 0.5, 0.3333333333333333, 1.0, 0.043478260869565216, 0.08333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.2, 1.0, 0.03333333333333333, 0.0010245901639344263, 0.03571428571428571, 0.005952380952380952, 0.05263157894736842, 0.5, 0.1111111111111111, 0.5, 0.07692307692307693, 0.041666666666666664, 0.015625, 0.022222222222222223, 0.008547008547008548, 0.016666666666666666, 0.3333333333333333, 0.005076142131979695, 0.3333333333333333, 0.0049504950495049506, 0.125, 0.007462686567164179, 0.3333333333333333, 0.1, 0.08333333333333333, 0.0034482758620689655, 0.2, 0.03571428571428571, 1.0, 0.058823529411764705, 0.25, 0.0625, 0.0625, 0.16666666666666666, 0.125, 0.25, 0.16666666666666666, 0.09090909090909091, 0.16666666666666666, 1.0, 0.14285714285714285, 0.018518518518518517, 0.5, 0.16666666666666666, 1.0, 0.3333333333333333, 1.0, 0.06666666666666667, 0.5, 0.3333333333333333, 0.09090909090909091, 0.16666666666666666, 0.25, 0.023809523809523808, 1.0, 0.1, 0.5, 0.16666666666666666, 0.5, 0.25, 1.0, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.25, 0.125, 1.0, 0.5, 0.1, 0.5, 1.0, 0.25, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.28,0.41
